"Species","Body_size_g","Generation_time_years","Longevity_years","Chromosome_number","Heterozygosity","Group_size_mean","Body_size_ratio"
"AfricanBuf",622400.33,5,30.65,53,0.26,NA,1.3751871657754
"Argali",145399.74,8,15.44,58,0.14,14,1.90981012658228
"BarbaryShe",84080.44,5,21.28,58,NA,5.5,2.16666666666667
"MuntiacusC",22042.2,3,11.98,8,0.2,1,0.95850622406639
"BlueSheep",51293.83,5,22.75,54,NA,25,1.51898734177215
"BlueWildeb",186019.78,7.5,23.2,58,0.18,25,1.27257977285019
"BohorReedb",43436.77,4.2,18,56,0.18,1.4,1.28039702233251
"Bongo",289299.97,5,20.41,33,0.06,8.4,1.25
"Bushbuck",46610.24,5.1,14.14,33,0.28,1,1.59807073954984
"MuntiacusR",14399.98,3,23.18,46,0.14,1,1.125
"CommonDuik",17527.79,5,14.87,60,0.19,2,0.933673469387755
"CommonElan",437706.72,5,25.32,63,0.16,25,1.55675805675806
"DefassaWat",177843.3,7.1,23.9,53,0.23,3.6,1.26428190069407
"ForestMusk",11493.22,5,NA,58,0.22,1,NA
"Gemsbok",150181.15,5,21.69,56,0.11,17.5,1.06971153846154
"Gerenuk",40027.48,4.6,14.72,60,0.08,3,1.02040816326531
"Giraffe",883929.91,10,37.9,30,0.11,25.5,1.46162348028982
"GyrantGaze",58739.28,5,16.88,30,0.14,17.5,1.56739130434783
"GreaterKud",209622.76,6.2,23.25,31,0.13,5.5,1.55778894472362
"HarveysDui",11844.9,4.6,15.14,60,0.17,1,1.08264462809917
"Ibex",76702.67,5,21.6,60,NA,19.5,1.64621676891616
"Impala",52478.36,5.7,19.91,59,0.11,23.4,1.29908675799087
"MuntiacusM",17909.8,3,18.08,6,0.09,1,1.3841059602649
"KirksDik",4837.82,3.6,16.96,47,0.21,2,0.901960784313726
"Klipspring",12977.29,5,21.06,60,0.26,1.5,0.869230769230769
"LesserKudu",86839.18,5,19.36,38,0.08,3.5,1.53945249597424
"LesserMous",2925,3,15.35,32,0.54,1,NA
"MaxwellsDu",8449.54,5,15.03,60,0.27,2,0.902777777777778
"Daviddeer",166495.67,5,24.98,68,0.06,NA,NA
"MountainNy",215375.48,5,13.84,55,0.1,8.6,1.39172165566887
"Okapi",229000.68,8,33.25,45,0.05,1,1
"Oribi",17144.44,5,15.86,NA,NA,2,0.933774834437086
"Pronghorn",44447.87,5,13.75,58,0.12,12.5,1.31837606837607
"GazellaPrz",26962.21,3,5.59,60,0.14,3.5,NA
"Reindeer",98437.08,5,20.98,70,0.13,NA,1.68997668997669
"RoyalAntel",3648.74,5,13.4,36,0.18,1,0.909090909090909
"Sitatunga",80710.69,4.6,21.94,30,0.06,1,1.69933554817276
"Springbuck",34168.5,5,19.9,56,0.44,NA,1.14647887323944
"Steenbok",11282.48,5,12.12,30,0.32,2,0.964601769911504
"Suni",5447.8,4,13.8,54,0.18,1,0.941176470588235
"ThomsonGaz",22840.98,5,17.04,58,0.15,17.5,1.2752808988764
"Topi",126400.13,5,21.35,36,0.26,20,1.14071606994172
"WhiteLippe",143536.38,5,19.74,66,0.3,20.5,1.6336
"goat",51595.49,1.85,23.8,60,NA,NA,NA
"Cattle",616761.61,2.89,19.53,60,NA,NA,NA
"Sheep",61099.3,6.5,17.9,54,NA,NA,NA
"RoeDeer",22816.92,2.62,20.63,NA,NA,5.5,1.03418803418803
"Yak",527833.33,3.71,20,NA,NA,34.3,1.9297385620915
"Hartebeest",163734.84,4.25,23.95,40,NA,27.5,1.09588199139521
"WhiteTaile",67932.46,1.93,23.95,NA,NA,NA,1.22292993630573
"TibetanAnt",30712.42,2.99,15.95,NA,NA,10.5,1.63953488372093
