"Species","Body_size_g","Generation_time_years","Longevity_years","Chromosome_number","Heterozygosity","Mating_system","Group_size_mean","Male_body_size_kg","Female_body_size_kg","nloci"
"AfricanBuf",13.3413387820518,1.6094379124341,3.42263266238222,3.97029191355212,-1.34707364796661,"polygamous",NA,6.46598919114764,6.14739934872874,7.91388671485608
"Argali",11.8872420559094,2.07944154167984,2.73696154459663,4.06044301054642,-1.96611285637283,NA,2.63905732961526,4.79330812810349,4.14630430115281,7.46221493976819
"BarbaryShe",11.3395292386485,1.6094379124341,3.05776766447344,4.06044301054642,NA,NA,1.70474809223843,4.716711560721,3.94352167248752,6.42648845745769
"MuntiacusC",10.0007140767971,1.09861228866811,2.4832385926873,2.07944154167984,-1.6094379124341,"monogamous",0,3.13983261752775,3.18221184049661,7.19518732017871
"BlueSheep",10.845325751021,1.6094379124341,3.12456514539696,3.98898404656427,NA,NA,3.2188758248682,4.0943445622221,3.67630067190708,6.82219739062049
"BlueWildeb",12.1336082911272,2.01490302054226,3.14415227867226,4.06044301054642,-1.71479842809193,"polygamous",3.2188758248682,5.46086129573332,5.21981513839308,7.40184157874383
"BohorReedb",10.6790615964105,1.43508452528932,2.89037175789616,4.02535169073515,-1.71479842809193,"polygamous",0.336472236621213,3.94352167248752,3.69635146895264,8.16507925880507
"Bongo",12.5752193872656,1.6094379124341,3.01602497682175,3.49650756146648,-2.81341071676004,NA,2.12823170584927,5.7037824746562,5.48063892334199,6.33682573114644
"Bushbuck",10.7495755384632,1.62924053973028,2.64900766046843,3.49650756146648,-1.27296567581289,"polygamous",0,3.90600493310258,3.43720781918519,4.68213122712422
"MuntiacusR",9.57498209667424,1.09861228866811,3.14328983791161,3.8286413964891,-1.96611285637283,"monogamous",0,2.66722820658195,2.54944517092557,7.45240245122364
"CommonDuik",9.77154290037286,1.6094379124341,2.69934576047206,4.0943445622221,-1.66073120682165,"monogamous",0.693147180559945,2.90690105984738,2.97552956623647,7.6511201757027
"CommonElan",12.9893043760426,1.6094379124341,3.23159459727598,4.14313472639153,-1.83258146374831,"polygamous",3.2188758248682,6.47280986555146,6.03020437542391,6.05208916892442
"DefassaWat",12.0886581044713,1.96009478404727,3.17387845893747,3.97029191355212,-1.46967597005894,"polygamous",1.28093384546206,5.46721590300985,5.23271160945004,8.10952565975287
"ForestMusk",9.34951257527204,1.6094379124341,NA,4.06044301054642,-1.51412773262978,NA,0,NA,NA,7.24921505711439
"Gemsbok",11.9195975111022,1.6094379124341,3.07685132483878,4.02535169073515,-2.20727491318972,"polygamous",2.86220088092947,5.18178355029209,5.11439452838711,7.55851674304564
"Gerenuk",10.5973214972196,1.52605630349505,2.68920711330073,4.0943445622221,-2.52572864430826,"polygamous",1.09861228866811,3.55534806148941,3.53514535417189,7.67182679787878
"Giraffe",13.6921330511461,2.30258509299405,3.63495111208838,3.40119738166216,-2.20727491318972,"polygamous",3.23867845216438,7.08187663921075,6.70232884847309,8.32627478739676
"GyrantGaze",10.980863947272,1.6094379124341,2.82612948916781,3.40119738166216,-1.96611285637283,"polygamous",2.86220088092947,4.2780540442909,3.8286413964891,7.9043348420851
"GreaterKud",12.2530648133201,1.82454929205105,3.14630513203337,3.43398720448515,-2.04022082852655,"polygamous",1.70474809223843,5.51342874616498,5.07016127341028,6.15485809401642
"HarveysDui",9.3796526741765,1.52605630349505,2.7173402480093,4.0943445622221,-1.77195684193188,"monogamous",0,2.57261223020711,2.4932054526027,7.67275789664251
"Ibex",11.2476917977012,1.6094379124341,3.07269331469012,4.0943445622221,NA,NA,2.9704144655697,4.38825718442452,3.88977739648083,7.36707705988101
"Impala",10.8681561731297,1.7404661748405,2.9912221180761,4.07753744390572,-2.20727491318972,"polygamous",3.15273602236366,4.04129534113228,3.7796338173824,7.31920245876785
"MuntiacusM",9.79310332804657,1.09861228866811,2.89480635496403,1.79175946922805,-2.40794560865187,"monogamous",0,3.03974915897077,2.71469474382088,7.19518732017871
"KirksDik",8.48421948502103,1.28093384546206,2.83085763036376,3.85014760171006,-1.56064774826467,"monogamous",0.693147180559945,1.52605630349505,1.62924053973028,7.21744343169653
"Klipspring",9.47095618571725,1.6094379124341,3.04737550670583,4.0943445622221,-1.34707364796661,"monogamous",0.405465108108164,2.42480272571829,2.56494935746154,6.76041469108343
"LesserKudu",11.3718131812945,1.6094379124341,2.96320908184843,3.63758615972639,-2.52572864430826,"polygamous",1.25276296849537,4.56017282005736,4.12874598893943,7.0475172213573
"LesserMous",7.98104975966596,1.09861228866811,2.73111547403321,3.46573590279973,-0.616186139423817,NA,0,NA,NA,8.50895938648913
"MaxwellsDu",9.0418672809996,1.6094379124341,2.71004820376488,4.0943445622221,-1.30933331998376,"monogamous",0.693147180559945,1.87180217690159,1.97408102602201,7.51806418123308
"Daviddeer",12.0227245820585,1.6094379124341,3.21807550469743,4.21950770517611,-2.81341071676004,NA,NA,NA,NA,7.94697135769359
"MountainNy",12.2801382024987,1.6094379124341,2.62756295018952,4.00733318523247,-2.30258509299405,"polygamous",2.15176220325946,5.44673737166631,5.11619578975675,6.30991827822652
"Okapi",12.3414802519643,2.07944154167984,3.50405476710186,3.80666248977032,-2.99573227355399,"monogamous",0,5.29831736654804,5.29831736654804,8.3485378253861
"Oribi",9.74942920177974,1.6094379124341,2.7638002162067,NA,NA,"monogamous",0.693147180559945,2.64617479738412,2.71469474382088,6.88857245956536
"Pronghorn",10.7020723207838,1.6094379124341,2.62103882411258,4.06044301054642,-2.12026353620009,"polygamous",2.52572864430826,4.12228393091134,3.8458832029236,7.39326309476384
"GazellaPrz",10.2021915349604,1.09861228866811,1.72097928716701,4.0943445622221,-1.96611285637283,"polygamous",1.25276296849537,NA,NA,6.04500531403601
"Reindeer",11.4971728413263,1.6094379124341,3.04356960296815,4.24849524204936,-2.04022082852655,"polygamous",NA,4.97673374242057,4.45201900649392,8.04590874227078
"RoyalAntel",8.20213718149996,1.6094379124341,2.59525470695687,3.58351893845611,-1.71479842809193,NA,0,0.693147180559945,0.78845736036427,6.75693238924755
"Sitatunga",11.2986263114084,1.52605630349505,3.08831145484708,3.40119738166216,-2.81341071676004,"polygamous",0,4.62790967295758,4.09767235231478,5.08759633523238
"Springbuck",10.4390594459895,1.6094379124341,2.99071973173045,4.02535169073515,-0.82098055206983,NA,NA,3.70622809244855,3.56953269648137,7.66152708135852
"Steenbok",9.33100635904282,1.6094379124341,2.49485698064117,3.40119738166216,-1.13943428318836,"monogamous",0.693147180559945,2.3887627892351,2.42480272571829,7.20340552108309
"Suni",8.60296713643596,1.38629436111989,2.62466859216316,3.98898404656427,-1.71479842809193,"monogamous",0,1.56861591791385,1.62924053973028,7.32448997934853
"ThomsonGaz",10.0363115700298,1.6094379124341,2.83556352140117,4.06044301054642,-1.89711998488588,"polygamous",2.86220088092947,3.12236492448736,2.87919845729804,7.94129557090653
"Topi",11.7472077891754,1.6094379124341,3.06105173967463,3.58351893845611,-1.34707364796661,"polygamous",2.99573227355399,4.91998092582813,4.78832472908594,7.31721240835984
"WhiteLippe",11.874343801215,1.6094379124341,2.98264703400534,4.18965474202643,-1.20397280432594,NA,3.02042488614436,5.31909990573056,4.8283137373023,7.85399308722424
"goat",10.851189544549,0.615185639090233,3.16968558067743,4.0943445622221,NA,NA,NA,NA,NA,7.38150189450671
"Cattle",13.3322378586976,1.06125650212434,2.97195174488859,4.0943445622221,NA,NA,NA,NA,NA,7.87092959675514
"Sheep",11.0202556884656,1.87180217690159,2.88480071284671,3.98898404656427,NA,NA,NA,NA,NA,7.7106533235012
"RoeDeer",10.0352576449817,0.963174317773006,3.02674632708316,NA,NA,"polygamous",1.70474809223843,3.18635263316264,3.15273602236366,7.64444076155657
"Yak",13.1765358499776,1.31103187661934,2.99573227355399,NA,NA,"polygamous",3.53514535417189,6.38096963563742,5.72358510195238,7.93092537248339
"Hartebeest",12.006003569059,1.44691898293633,3.17596832385692,3.68887945411394,NA,"polygamous",3.31418600467253,5.1834675248691,5.09190801422499,7.07496319796604
"WhiteTaile",11.1262692552791,0.657520002916794,3.17596832385692,NA,NA,"polygamous",NA,4.05352256770185,3.85227300102237,8.04076899436758
"TibetanAnt",10.3324224120234,1.0952733874026,2.76945882923085,NA,NA,"polygamous",2.35137525716348,3.74478708605223,3.25037449192757,7.51425465281641
